"正面（问题）","背面（答案）"
"অ্যান্টিবডি ও অ্যান্টিজেনের বিক্রিয়ার ফলে অণুজীবগুলো দলবদ্ধ হওয়ার প্রক্রিয়াকে কী বলে?","অ্যা گلوটিনেশন (Agglutination)।"
"ওপসোনাইজেশন (Opsonization) বলতে কী বোঝায়?","জীবাণুর গায়ে প্রোটিন আবরণ তৈরির মাধ্যমে তাকে ফ্যাগোসাইটের কাছে সহজলভ্য করার প্রক্রিয়া।"
"যক্ষ্মা প্রতিরোধে কোন টিকা ব্যবহার করা হয়?","$BCG$ টিকা।"
"$BCG$ এর পূর্ণরূপ কী?","Bacillus Calmette Guerin।"
"টিকা বা ভ্যাকসিনের উদ্ভাবক হিসেবে কাকে গণ্য করা হয় এবং কত সালে?","এডওয়ার্ড জেনার, $১৭৯৬$ সালে।"
"কোন কোষটি প্রধানত ভাইরাস আক্রান্ত কোষ বা টিউমার কোষকে ধ্বংস করতে পারে?","$NK$ কোষ (Natural Killer Cell)।"
"রক্তের বেসোফিল কোষ থেকে নিঃসৃত কোন পদার্থ রক্তনালীর প্রসারণ ঘটায় এবং প্রদাহ সৃষ্টি করে?","হিস্টামিন (Histamine)।"
"মানুষের লালাগ্রন্থি থেকে নিঃসৃত কোন এনজাইম ব্যাকটেরিয়া নাশক হিসেবে কাজ করে?","লাইসোজাইম।"
"ফ্যাগোসাইটিক ভ্যাসিকল এবং লাইসোজোম একত্রিত হয়ে যে গহ্বর তৈরি করে তাকে কী বলে?","ফ্যাগোলাইসোজোম।"
"ম্যাক্রোফেজ সাধারণত কতদিন পর্যন্ত টিস্যুতে জীবিত থাকতে পারে?","কয়েক মাস থেকে কয়েক বছর।"
"নিউট্রোফিল সাধারণত কতদিন রক্ত প্রবাহে অবস্থান করে?","$২$ থেকে $৫$ দিন।"
"অ্যান্টিবডি অণুর কব্জা অঞ্চল বা Hinge Region এর কাজ কী?","অ্যান্টিবডি বাহুদ্বয়কে নমনীয়তা দান করা যাতে অ্যান্টিজেনের সাথে সহজে যুক্ত হতে পারে।"
"কোন ধরণের ইমিউনোগ্লোবিউলিন সবচেয়ে বড় আকারের এবং পাঁচটি ইউনিটের সমন্বয়ে গঠিত (Pentamer)?","$IgM$।"
"রক্তের প্লাজমা থেকে ফাইব্রিনোজেন পৃথক করলে যে হালকা হলুদ রঙের তরল অবশিষ্ট থাকে তাকে কী বলে?","সিরাম (Serum)।"
"একটি অ্যান্টিবডিতে কয়টি অ্যান্টিজেন বাইন্ডিং সাইট থাকে?","$২$টি।"
"নিচের কোন কোষটি অদানাদার শ্বেত রক্তকণিকা থেকে সৃষ্টি হয় এবং প্রতিরক্ষায় অংশ নেয়?","মনোসাইট ও লিম্ফোসাইট।"
"অ্যান্টিবডি অণুর প্রতিটি হালকা শৃঙ্খলে অ্যামিনো এসিডের সংখ্যা প্রায় কত?","প্রায় $২২০$টি।"
"অ্যান্টিবডি অণুর প্রতিটি ভারী শৃঙ্খলে অ্যামিনো এসিডের সংখ্যা কত হতে পারে?","$৪৪০$ থেকে $৫৫০$টি।"
"শরীরের ক্ষতস্থানে পুঁজ (Pus) জমার প্রধান কারণ কী?","মৃত ব্যাকটেরিয়া এবং শ্বেত রক্তকণিকা (বিশেষ করে নিউট্রোফিল) জমা হওয়া।"
"অ্যান্টিজেনের বিপরীতে শরীরে ইমিউন সাড়া প্রদানের ক্ষমতাকে কী বলে?","ইমিউনোজেনেসিটি (Immunogenicity)।"
"মানুষের পাকস্থলীর প্যারাইটাল কোষ থেকে নিঃসৃত হয় কোনটি?","$HCl$।"
"সিলিয়া কোন ধরণের প্রতিরক্ষা স্তরের অন্তর্ভুক্ত?","প্রথম প্রতিরক্ষা স্তর।"
"জ্বর হলে শরীরের তাপমাত্রা বৃদ্ধির প্রধান সুবিধা কী?","অণুজীবের বংশবৃদ্ধি ব্যাহত করা এবং প্রতিরক্ষা কোষের কার্যকারিতা বাড়ানো।"
"কোন ধরণের শ্বেত রক্তকণিকা হেপারিন ও হিস্টামিন নিঃসরণ করে?","বেসোফিল।"
"অ্যান্টিবডি মূলত কী ধরণের রাসায়নিক পদার্থ?","গ্লাইকোপ্রোটিন (Glycoprotein)।"
"একটি অ্যান্টিবডিতে হালকা ও ভারী শৃঙ্খলের অনুপাত কত?","$১ : ১$ (প্রতিটি হালকা শৃঙ্খলের বিপরীতে একটি ভারী শৃঙ্খল)।"
"কোন বিজ্ঞানী প্রথম 'অ্যান্টিবডি' শব্দটি ব্যবহার করেন?","জার্মান বিজ্ঞানী পল এরলিখ (Paul Ehrlich)।"
"অ্যান্টিজেনের গঠনগত একককে কী বলা হয়?","অ্যান্টিজেনিক ডিটারমিনেন্ট বা এপিটোপ।"
"অ্যান্টিবডি অণুর হালকা শৃঙ্খলে কয়টি ডোমেইন থাকে?","$২$টি (একটি স্থায়ী ও একটি পরিবর্তনশীল)।"
"দেহের স্বাভাবিক অণুজীব বা মাইক্রোবায়োটা কীভাবে সুরক্ষা দেয়?","ক্ষতিকর ব্যাকটেরিয়ার সাথে পুষ্টি ও স্থানের প্রতিযোগিতা করে তাদের বংশবৃদ্ধি রোধ করে।"
"মনোসাইট ও ম্যাক্রোফেজ এর মধ্যে প্রধান পার্থক্য কী?","মনোসাইট রক্তে থাকে, আর ম্যাক্রোফেজ টিস্যুতে অবস্থান করে।"
"অর্জিত প্রতিরক্ষা ব্যবস্থা মূলত কয় ধরণের সাড়া প্রদান করে?","$২$ ধরণের (প্রাথমিক ও গৌণ বা মেমোরি ভিত্তিক সাড়া)।"
"স্মলপক্স বা গুটিবসন্তের টিকা কে আবিষ্কার করেন?","এডওয়ার্ড জেনার।"
"অ্যান্টিবডির মূল কাঠামোটি কয়টি পলিপেপটাইড শৃঙ্খল নিয়ে গঠিত?","$৪$টি শৃঙ্খল।"
